Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,C3,0.19682468,0.7725764,0.0002473665,30.393818
2,FT8,0.17223793,0.68345314,0.00016792818,30.796637
3,P2,0.12570697,0.5067552,0.00014471535,24.24581
4,PZ,0.11077087,0.4559972,7.725272e-05,18.038801
5,P3,0.10629821,0.45842224,0.00012514528,20.204397
6,C5,0.105986334,0.46279064,9.368211e-05,25.682539
7,P8,0.10583372,0.43524277,9.2936956e-05,15.800861
8,FT7,0.10298508,0.41084605,0.00016974281,16.45165
9,PO7,0.100244515,0.4150576,0.000108634005,17.510723
10,F5,0.09936799,0.4196864,0.00011711359,15.221943
11,P6,0.092959754,0.40931746,6.112454e-05,13.912689
12,OZ,0.09048129,0.373217,0.00011681471,16.157421
13,P5,0.08803566,0.36317456,0.000101043326,13.4853
14,POZ,0.086718805,0.37331274,0.00010393548,14.801108
15,CP2,0.084013976,0.35618672,9.657727e-05,16.078695
16,F3,0.08224886,0.32070705,0.000106700434,13.103688
17,PO4,0.08206159,0.3393127,9.461639e-05,14.907961
18,C2,0.08092794,0.32903036,0.00011860689,12.989046
19,C4,0.07910227,0.34201705,9.209284e-05,14.157811
20,T8,0.078825034,0.3449665,8.229019e-05,16.129738
21,AF7,0.075658746,0.3220735,0.000101627054,12.422684
22,C6,0.07462535,0.30071652,9.067518e-05,12.679775
23,AF4,0.07397304,0.3108832,0.00011518486,15.237815
24,F4,0.07276724,0.29425886,7.69769e-05,13.04842
25,T9,0.07126501,0.30846956,7.331088e-05,11.83457
26,P7,0.07110847,0.2874987,7.544616e-05,14.5092
27,CPZ,0.07104285,0.3003936,0.00010341165,14.197096
28,FC1,0.07016377,0.27795655,7.595089e-05,10.092254
29,C1,0.06846193,0.28996304,5.344119e-05,16.548151
30,F7,0.06369277,0.25862297,0.00011015128,11.984754
31,F9,0.0621922,0.25403127,4.0452327e-05,9.973799
32,F10,0.06064914,0.24653861,7.446611e-05,10.769293
33,T10,0.060200118,0.2426025,5.2836076e-05,9.88426
34,FC6,0.059141982,0.25474542,7.216613e-05,12.363529
35,CP3,0.058175024,0.24898086,9.6987154e-05,11.427347
36,AF8,0.058087472,0.22529368,6.444966e-05,9.290963
37,FC2,0.056676548,0.23689991,5.0497525e-05,13.247275
38,FC3,0.05660007,0.22956643,5.5309225e-05,7.881418
39,O1,0.05447302,0.21827385,5.814568e-05,10.8845825
40,CP5,0.05357838,0.23411918,8.127636e-05,9.194025
41,AFZ,0.053196415,0.22889385,4.6289377e-05,8.800487
42,AF3,0.05248788,0.20300485,5.2443174e-05,7.2728553
43,FZ,0.05196624,0.21112326,5.6341596e-05,8.340441
44,CP6,0.050163355,0.21144903,5.13731e-05,9.2926035
45,PO8,0.048647333,0.19804448,5.3883196e-05,7.341704
46,F1,0.047494326,0.20265983,4.9962702e-05,8.702117
47,P1,0.046910074,0.19314754,5.590312e-05,7.6313877
48,FC4,0.046490107,0.20531853,3.4860113e-05,10.282734
49,FP1,0.046436075,0.20189242,5.4110526e-05,7.693084
50,FC5,0.045420412,0.18688656,6.158379e-05,7.511289
51,CP1,0.045172848,0.1967798,5.128316e-05,8.096392
52,O2,0.044853475,0.18043254,3.895144e-05,7.475624
53,FP2,0.0445312,0.17566729,4.087324e-05,6.6941643
54,P4,0.04416465,0.19018376,4.3463497e-05,11.216619
55,F2,0.042242534,0.17322789,5.2917258e-05,6.398545
56,F6,0.04153662,0.17927305,3.4480156e-05,6.8341427
57,F8,0.040127166,0.17127155,4.335031e-05,6.552174
58,CP4,0.0375936,0.15793082,4.131509e-05,7.021188
59,PO3,0.03397774,0.14392892,4.729553e-05,6.831788
60,T7,0.028160417,0.12429485,4.2512147e-05,3.9750192
